Crop,City,Date,Modal Price,Seasonal_Index
Tomato,Bangalore,2024-07-01,60,0.5
Tomato,Bangalore,2024-08-01,55,0.4
Tomato,Bangalore,2024-09-01,50,0.3
Tomato,Bangalore,2024-10-01,45,0.3
Tomato,Bangalore,2024-11-01,48,0.4
Tomato,Bangalore,2024-12-01,50,0.5
Tomato,Bangalore,2025-01-01,55,0.8
Tomato,Bangalore,2025-02-01,65,1.0
Tomato,Bangalore,2025-03-01,70,1.0
Tomato,Bangalore,2025-04-01,60,0.8
Banana,Bangalore,2024-07-01,80,0.5
Banana,Bangalore,2024-08-01,85,0.5
Banana,Bangalore,2024-09-01,90,0.6
Banana,Bangalore,2024-10-01,88,0.5
Banana,Bangalore,2024-11-01,92,0.6
Banana,Bangalore,2024-12-01,95,0.6
Banana,Bangalore,2025-01-01,98,0.7
Banana,Bangalore,2025-02-01,100,0.7
Banana,Bangalore,2025-03-01,102,0.7
Banana,Bangalore,2025-04-01,100,0.6
Mango,Bangalore,2024-07-01,100,0.8
Mango,Bangalore,2024-08-01,105,0.9
Mango,Bangalore,2024-09-01,110,1.0
Mango,Bangalore,2024-10-01,120,0.6
Mango,Bangalore,2024-11-01,115,0.5
Mango,Bangalore,2024-12-01,110,0.4
Mango,Bangalore,2025-01-01,105,0.3
Mango,Bangalore,2025-02-01,120,0.7
Mango,Bangalore,2025-03-01,130,0.8
Mango,Bangalore,2025-04-01,135,0.9
Onion,Bangalore,2024-07-01,40,0.4
Onion,Bangalore,2024-08-01,42,0.3
Onion,Bangalore,2024-09-01,45,0.3
Onion,Bangalore,2024-10-01,50,0.4
Onion,Bangalore,2024-11-01,48,0.5
Onion,Bangalore,2024-12-01,46,0.6
Onion,Bangalore,2025-01-01,48,0.8
Onion,Bangalore,2025-02-01,55,1.0
Onion,Bangalore,2025-03-01,60,1.0
Onion,Bangalore,2025-04-01,50,0.8
Carrot,Bangalore,2024-07-01,70,0.6
Carrot,Bangalore,2024-08-01,75,0.7
Carrot,Bangalore,2024-09-01,80,0.8
Carrot,Bangalore,2024-10-01,85,0.7
Carrot,Bangalore,2024-11-01,90,0.6
Carrot,Bangalore,2024-12-01,92,0.6
Carrot,Bangalore,2025-01-01,95,0.5
Carrot,Bangalore,2025-02-01,98,0.5
Carrot,Bangalore,2025-03-01,100,0.5
Carrot,Bangalore,2025-04-01,105,0.6
Apple,Bangalore,2024-07-01,120,0.5
Apple,Bangalore,2024-08-01,125,0.5
Apple,Bangalore,2024-09-01,130,0.6
Apple,Bangalore,2024-10-01,135,0.6
Apple,Bangalore,2024-11-01,140,0.5
Apple,Bangalore,2024-12-01,145,0.5
Apple,Bangalore,2025-01-01,150,0.5
Apple,Bangalore,2025-02-01,155,0.5
Apple,Bangalore,2025-03-01,160,0.5
Apple,Bangalore,2025-04-01,165,0.5
